cust_id,transaction_type,transaction_date,subscription_type,subscription_price,customer_gender,age_group,customer_country,referral_type,year,month,first_tx,cohort_month,plan_id,billing_month,is_churn,active_month
1,initial,2020-09-01,BASIC,33.0,Male,35-44,Denmark,google ads,2020,2020-09,2020-09-01,2020-09,1,2020-09-01,False,2020-09
2,initial,2022-03-01,BASIC,53.0,Female,18-24,Denmark,facebook,2022,2022-03,2022-03-01,2022-03,1,2022-03-01,False,2022-03
3,initial,2020-10-01,MAX,99.0,Female,25-34,Norway,facebook,2020,2020-10,2020-10-01,2020-10,2,2020-10-01,False,2020-10
3,reduction,2022-02-01,BASIC,53.0,Female,25-34,Norway,facebook,2022,2022-02,2020-10-01,2020-10,1,2022-02-01,False,2022-02
4,initial,2022-05-01,PRO,85.0,Male,18-24,Sweden,display,2022,2022-05,2022-05-01,2022-05,3,2022-05-01,False,2022-05
5,initial,2022-08-01,BASIC,53.0,Male,35-44,Sweden,google ads,2022,2022-08,2022-08-01,2022-08,1,2022-08-01,False,2022-08
6,initial,2022-06-01,MAX,119.0,Male,55-65,Sweden,facebook,2022,2022-06,2022-06-01,2022-06,2,2022-06-01,False,2022-06
7,initial,2022-02-01,MAX,119.0,Female,25-34,Sweden,facebook,2022,2022-02,2022-02-01,2022-02,2,2022-02-01,False,2022-02
8,initial,2021-01-01,BASIC,43.0,Other,45-54,Sweden,facebook,2021,2021-01,2021-01-01,2021-01,1,2021-01-01,False,2021-01
8,churn,2021-04-01,BASIC,43.0,Other,45-54,Sweden,facebook,2021,2021-04,2021-01-01,2021-01,1,2021-04-01,False,2021-04
9,initial,2020-08-01,BASIC,33.0,Female,25-34,Sweden,facebook,2020,2020-08,2020-08-01,2020-08,1,2020-08-01,False,2020-08
9,churn,2021-03-01,BASIC,43.0,Female,25-34,Sweden,facebook,2021,2021-03,2020-08-01,2020-08,1,2021-03-01,False,2021-03
10,initial,2022-09-01,MAX,119.0,Female,25-34,Finland,facebook,2022,2022-09,2022-09-01,2022-09,2,2022-09-01,False,2022-09
11,initial,2020-05-01,BASIC,33.0,Female,45-54,Norway,organic search,2020,2020-05,2020-05-01,2020-05,1,2020-05-01,False,2020-05
11,upgrade,2022-01-01,MAX,119.0,Female,45-54,Norway,organic search,2022,2022-01,2020-05-01,2020-05,2,2022-01-01,False,2022-01
12,initial,2020-09-01,BASIC,33.0,Male,25-34,Finland,facebook,2020,2020-09,2020-09-01,2020-09,1,2020-09-01,False,2020-09
12,upgrade,2022-09-01,PRO,85.0,Male,25-34,Finland,facebook,2022,2022-09,2020-09-01,2020-09,3,2022-09-01,False,2022-09
13,initial,2022-06-01,BASIC,53.0,Male,55-65,Norway,google ads,2022,2022-06,2022-06-01,2022-06,1,2022-06-01,False,2022-06
14,initial,2020-03-01,BASIC,33.0,Female,35-44,Norway,google ads,2020,2020-03,2020-03-01,2020-03,1,2020-03-01,False,2020-03
